"해당 자료는 2022년 01월 03일 추출한 자료입니다. K-apt 시스템은 실시간으로 수정, 변경이 가능한 시스템으로 기존 데이터가 수정 될 수 있으며, 엑셀자료는 단순 참조자료로 활용하여 주시기 바랍니다. 현 시점 정확한 자료는 제공되고 있는 OPENAPI를 참조하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,
시도,시군구,읍면,동리,단지코드,단지명,연면적,건축물대장연면적,관리비부과면적,주거전용면적,동수,세대수,전용면적(40이하),전용면적(40초과60이하),전용면적(60초과85이하),전용면적(85초과105이하),전용면적(105초과125이하),전용면적(125초과)
경기도,수원영통구,,원천동,A44382404,원천레이크파크,"194,381","153,346","159,162","115,733",21,"1,835",0,"1,459",376,0,0,0
대구광역시,남구,,이천동,A70583603,"이천뜨란채3,4단지아파트","48,021","47,912","40,268","30,595",5,431,0,238,193,0,0,0
경상남도,김해시,,외동,A62175514,한국1차,"116,168","91,236","91,778","76,365",15,"1,530",180,"1,350",0,0,0,0
서울특별시,금천구,,시흥동,A15303202,관악벽산2단지,"30,202","25,826","30,191","18,443",2,564,564,0,0,0,0,0
경기도,광명시,,소하동,A42382104,소하동양2차,"114,531","69,499","85,944","69,499",11,763,0,74,499,0,190,0
인천광역시,계양구,,용종동,A40770905,용종 초정마을하나아파트,"109,564","92,403","92,374","72,766",8,972,168,0,804,0,0,0
부산광역시,해운대구,,우동,A61274013,해운대아이파크,"456,819","538,713","205,936","205,936",3,"1,631",0,0,119,336,464,712
경기도,김포시,양촌읍,양곡리,A41576906,김포한강 신원 아침도시고다니마을,"56,349","42,480","42,018","31,729",6,380,0,0,380,0,0,0
경상북도,성주군,성주읍,백전리,A71980001,실리안,"22,122","23,293","20,707","14,625",2,202,0,0,202,0,0,0
경상북도,경산시,,옥곡동,A71208004,경산서부2차부영,"65,427","57,620","53,957","43,337",7,510,0,0,510,0,0,0
울산광역시,동구,,화정동,A68210001,현대목재,"16,272","15,795","11,730","11,730",3,212,0,164,48,0,0,0
전라북도,남원시,,노암동,A59009001,노암비안,"15,111","14,174","13,973","9,590",1,160,0,160,0,0,0,0
